IDborrower,IDlender,getID,IsExpired,GetLinkedAgentID,getType,Initial Borrower,Initial Lender,Linked Borrower (IB Market),Linked Lender (IB Market),IB Deposit Rate Linked Agent,IB Loan Rate Linked Agent
4,0,1588,0,0,1,4,,,,,
0,5,1699,0,0,2,,5,,,,
0,5,1699,0,4,21,,,,,,
0,5,1699,1,4,21,,,,,,
0,5,1699,1,4,21,,,,,,
0,5,1699,1,4,21,,,,,,
0,5,1699,1,4,21,,,,,,
0,1,1700,0,0,2,,1,,,,
2,0,1589,0,0,1,2,,,,,
3,0,1590,0,0,1,3,,,,,
7,0,1591,0,0,1,7,,,,,
0,6,1701,0,0,2,,6,,,,
0,6,1701,0,4,21,,,,,,
0,6,1701,1,4,21,,,,,,
0,6,1701,1,4,21,,,,,,
0,6,1701,1,4,21,,,,,,
0,6,1701,1,4,21,,,,,,
0,9,1702,0,0,2,,9,,,,
0,9,1702,0,6,21,,,,,,
0,9,1702,1,6,21,,,,,,
0,9,1702,1,6,21,,,,,,
0,9,1702,1,6,21,,,,,,
0,9,1702,1,6,21,,,,,,
0,8,1703,0,0,2,,8,,,,
0,8,1703,0,5,21,,,,,,
0,8,1703,1,5,21,,,,,,
0,8,1703,1,5,21,,,,,,
0,8,1703,1,5,21,,,,,,
0,8,1703,1,5,21,,,,,,
3,0,1592,0,0,1,3,,,,,
0,9,1704,0,0,2,,9,,,,
0,9,1704,0,5,21,,,,,,
0,9,1704,1,5,21,,,,,,
0,9,1704,1,5,21,,,,,,
0,9,1704,1,5,21,,,,,,
0,9,1704,1,5,21,,,,,,
0,0,1593,0,0,1,0,,,,,
1,0,1594,0,0,1,1,,,,,
1,0,1594,0,7,11,1,,7,,0,
1,0,1594,1,7,11,1,,7,,0,
1,0,1594,1,7,11,1,,7,,0,
0,8,1705,0,0,2,,8,,,,
0,8,1705,0,5,21,,,,,,
0,8,1705,1,5,21,,,,,,
0,8,1705,1,5,21,,,,,,
0,8,1705,1,5,21,,,,,,
0,8,1705,1,5,21,,,,,,
2,0,1595,0,0,1,2,,,,,
0,5,1706,0,0,2,,5,,,,
0,5,1706,0,4,21,,,,,,
0,5,1706,1,4,21,,,,,,
0,5,1706,1,4,21,,,,,,
0,5,1706,1,4,21,,,,,,
0,5,1706,1,4,21,,,,,,
0,0,1596,0,0,1,0,,,,,
7,0,1597,0,0,1,7,,,,,
0,7,1707,0,0,2,,7,,,,
0,7,1707,1,0,2,,7,,,,
0,7,1707,1,0,2,,7,,,,
0,6,1708,0,0,2,,6,,,,
0,6,1708,0,4,21,,,,,,
0,6,1708,1,4,21,,,,,,
0,6,1708,1,4,21,,,,,,
0,6,1708,1,4,21,,,,,,
0,6,1708,1,4,21,,,,,,
9,0,1598,0,0,1,9,,,,,
0,4,1709,0,0,2,,4,,,,
0,4,1709,0,3,21,,,,,,
0,4,1709,1,3,21,,,,,,
0,4,1709,1,3,21,,,,,,
0,4,1709,1,3,21,,,,,,
0,4,1709,1,3,21,,,,,,
0,9,1710,0,0,2,,9,,,,
0,9,1710,0,5,21,,,,,,
0,9,1710,1,5,21,,,,,,
0,9,1710,1,5,21,,,,,,
0,9,1710,1,5,21,,,,,,
0,9,1710,1,5,21,,,,,,
0,1,1711,0,0,2,,1,,,,
0,2,1712,0,0,2,,2,,,,
0,2,1712,0,7,21,,,,,,
